id,question,faithfulness,answer_relevancy,context_precision,context_recall,answer_correctness,niveau,source,difficulte_rag
L2_ENS_006,Quels sont les horaires hebdomadaires du cours « Dynamique des équations des ondes semi-linéaires » et qui l'enseigne ?,MetricResult(value=0.6666666666666666),MetricResult(value=0.6621504330283341),MetricResult(value=0.94999999997625),MetricResult(value=1.0),,2,ENS,"Modérée — l'encart Horaires est court et placé en fin de fiche, à cheval sur deux pages, et un autre cours (Systèmes de particules en interaction, page 75) possède un encart Horaires similaire avec des créneaux différents, risque de confusion."
L2_ENS_007,"Quel est le programme provisoire détaillé du cours d'Algèbre 1 (L3 S1) de l'ENS DMA, et qui sont ses enseignants ?",MetricResult(value=1.0),MetricResult(value=0.7461189381579274),MetricResult(value=0.9999999999666667),MetricResult(value=1.0),,2,ENS,Élevée — le programme complet en neuf parties est étalé sur quatre pages consécutives (32 à 35) avec des sous-listes de compléments ; un chunking standard risque de ne récupérer qu'une partie des neuf points.
L3_ENS_001,"Compare les ECTS des cours fondamentaux de M1 entre le tableau de la première année (L3) et celui de la deuxième année (M1) : combien d'ECTS vaut chacun des quatre cours communs de L3, et combien d'ECTS vaut chacun des trois cours fondamentaux de M1 requis en deuxième année ?",MetricResult(value=1.0),MetricResult(value=0.7716635708070493),MetricResult(value=0.99999999995),MetricResult(value=1.0),MetricResult(value=0.7143223236449038),3,ENS,"Élevée — les deux tableaux ont une structure et une présentation très proches (« N cours x 12 ECTS = total ECTS »), ce qui peut amener un système RAG à confondre les valeurs des deux années si le retrieval ne distingue pas correctement les deux pages."
L3_ENS_002,"Quelles sont les quatre notes de bas de tableau (numérotées de 1 à 4) du tableau des règles d'obtention de la deuxième année (M1), et à quels cours ou groupes de cours du tableau s'appliquent-elles ?",,,MetricResult(value=0.0),MetricResult(value=1.0),,3,ENS,"Élevée — il faut associer chaque note numérotée à plusieurs cours différents marqués du même exposant dans le tableau, ce qui demande de bien lier le corps du tableau et ses notes de bas de page sans les séparer dans le chunking."
L3_ENS_003,"Quel cours spécial sans ECTS est proposé au second semestre dans le cadre des règles d'obtention de la deuxième année, sur quelle thématique porte-t-il, et qui le donne ? Précise également le lien avec la fiche de cours détaillée correspondante plus loin dans la brochure.",,,MetricResult(value=0.9999999999666667),MetricResult(value=0.0),,3,ENS,"Élevée — la confirmation explicite de l'absence d'ECTS ne se trouve que dans la fiche de cours page 44, distincte de la mention dans les règles d'obtention page 23 ; le rapprochement entre les deux passages nécessite un retrieval couvrant des pages éloignées."
L3_ENS_004,"Pour le cursus mathématiques/biologie, quels sont les deux cours parmi lesquels choisir au premier semestre et les deux cours parmi lesquels choisir au second semestre, en plus des trois cours de biologie pour non-biologistes obligatoires ?",MetricResult(value=1.0),MetricResult(value=0.6954779357087135),MetricResult(value=0.99999999995),MetricResult(value=1.0),,3,ENS,Élevée — la structure imbriquée avec deux choix « deux parmi trois » presque identiques dans leur formulation pour S1 et S2 peut amener un système RAG à mélanger les listes de cours des deux semestres.
L3_ENS_005,À quelles dates précises ont lieu les huit séances du cours « Dimension reduction and manifold learning » de M2 et où se déroule ce cours ?,MetricResult(value=1.0),MetricResult(value=0.6552506861802841),MetricResult(value=0.999999999975),MetricResult(value=1.0),MetricResult(value=0.48851485582683596),3,ENS,"Élevée — la liste exacte des huit dates est longue et précise, placée en toute fin de fiche juste avant le saut de page 49→50 ; un découpage en chunks risque de tronquer une partie de la liste de dates."
L3_ENS_006,"Pour le cursus mathématiques/informatique, en quoi consiste le travail bibliographique encadré par un·e chercheur·euse, et quelles sont les caractéristiques précises (durée, période, lieu) du stage de recherche en informatique qui le complète ?",MetricResult(value=1.0),MetricResult(value=0.6171458187136984),MetricResult(value=0.9999999999666667),MetricResult(value=1.0),MetricResult(value=0.5983987902678187),3,ENS,"Élevée — le paragraphe est coupé par un saut de page (fin page 20, début page 21) juste avant la phrase finale « Les sujets de mémoire et de stage sont liés l'un à l'autre », qui peut être perdue dans un chunk mal découpé ; de plus, des stages similaires existent pour les filières maths/physique et maths/biologie, avec des durées et conditions différentes (24 ECTS, niveau L3...), risque de confusion entre filières."
L1_SU_001,Avec quelle école le Master 2 Probabilités et Finance de Sorbonne Université est-il actuellement co-opéré ?,MetricResult(value=1.0),MetricResult(value=0.7787043616245589),MetricResult(value=0.999999999975),MetricResult(value=1.0),MetricResult(value=0.9774838990940806),1,Sorbonne,Faible — phrase courte et explicite en tout début de chapitre.
L1_SU_002,"Dans le parcours Master 2 Mathématiques fondamentales de Sorbonne Université, quelles sont les deux autres universités dont les étudiants peuvent suivre et valider les cours du parcours équivalent ?",MetricResult(value=1.0),MetricResult(value=0.530579593191256),MetricResult(value=0.999999999975),MetricResult(value=1.0),MetricResult(value=0.5514435150360324),1,Sorbonne,Faible — information explicite mais placée entre parenthèses dans une phrase plus longue.
L1_SU_003,"En quelle année le parcours MS2A (Master 2 Statistique, Apprentissage et Algorithmes) de Sorbonne Université est-il né, et de la fusion de quels deux M2 est-il issu ?",MetricResult(value=1.0),MetricResult(value=0.737611566512728),MetricResult(value=0.9999999999666667),MetricResult(value=1.0),MetricResult(value=0.7309838230312018),1,Sorbonne,Faible — information explicite et unique en tout début de chapitre.
L1_SU_004,"Quelles sont les trois options de préparation à l'oral (A, B, C) proposées dans le parcours Agrégation de Mathématiques de Sorbonne Université ?",MetricResult(value=1.0),MetricResult(value=0.6274520935795652),MetricResult(value=0.7499999999625),MetricResult(value=1.0),MetricResult(value=0.9683541414575665),1,Sorbonne,Faible — liste courte avec lettres et noms d'options explicitement associés dans la même phrase.
L1_SU_005,"En quelle année le parcours Sciences des données (SCDA et SCDI) de Sorbonne Université a-t-il été initié, et sur quel intervalle de niveaux d'études s'étend-il ?",MetricResult(value=0.5),MetricResult(value=0.5156738582179613),MetricResult(value=0.5888888888692593),MetricResult(value=1.0),MetricResult(value=0.45111940467963263),1,Sorbonne,Faible — information explicite et unique en tout début de chapitre.
L1_SU_006,"Quelle est la durée minimale du stage obligatoire du M1 SCDI (Sciences des données pour l'ingénieur·e) à Sorbonne Université, et pendant quels mois doit-il avoir lieu ?",,MetricResult(value=0.7892241040156088),MetricResult(value=0.8874999999778125),MetricResult(value=1.0),,1,Sorbonne,"Faible — phrase courte et explicite, mais placée tout en bas d'une longue liste d'UE et donc sur une page profonde du document."
L2_SU_001,"Comment est organisé le premier semestre (tronc commun) du Master 2 Probabilités et Finance de Sorbonne Université, et comment se fait la sélection des candidats à l'entrée de ce parcours ?",MetricResult(value=1.0),MetricResult(value=0.6030282362695493),MetricResult(value=0.999999999975),MetricResult(value=1.0),,2,Sorbonne,"Élevée — la description du semestre 1 est à cheval sur les pages 59 et 60, et les modalités de sélection se trouvent dans une section différente (4.4) un peu plus loin sur la page 60 ; un chunking standard risque de ne récupérer qu'une partie de la réponse."
L2_SU_002,"Combien d'ECTS un·e étudiant·e du parcours MS2A (Master 2 Statistique, Apprentissage et Algorithmes) doit-il/elle valider chaque année, comment se répartissent-ils entre les deux semestres, et que se passe-t-il si l'étudiant·e choisit plus d'ECTS que le minimum requis sur un semestre ?",MetricResult(value=1.0),MetricResult(value=0.7402349956337148),MetricResult(value=0.999999999975),MetricResult(value=1.0),MetricResult(value=0.5992412464281208),2,Sorbonne,"Modérée — un seul paragraphe contient trois informations numériques différentes (60 ECTS annuels, répartition 30/30 dont 18 ECTS de stage, et règle des 36 ECTS avec la moyenne la plus favorable) qui peuvent être tronquées séparément."
L2_SU_003,"Pendant la pré-rentrée du parcours MS2A à Sorbonne Université, quel choix obligatoire les étudiant·e·s doivent-ils/elles faire, et combien d'heures représentent respectivement le cours de Statistique et le cours d'Optimisation et calcul différentiel ?",MetricResult(value=1.0),MetricResult(value=0.5262095676662124),MetricResult(value=0.6388888888675925),MetricResult(value=1.0),MetricResult(value=0.4641550875371969),2,Sorbonne,Modérée — il faut combiner une information textuelle (le choix R/Python avancé) avec deux valeurs numériques issues d'un petit tableau à cinq lignes.
L2_SU_004,"Au premier semestre du parcours MS2A, quels sont les deux cours obligatoires du tronc commun, et combien de cours optionnels parmi lesquels les étudiant·e·s doivent-ils/elles en choisir, avec leurs ECTS ?",MetricResult(value=1.0),MetricResult(value=0.8284521395682253),MetricResult(value=0.94999999997625),MetricResult(value=1.0),MetricResult(value=0.5957780372289205),2,Sorbonne,"Modérée — il faut associer la phrase qui distingue les cours obligatoires des cours au choix avec les valeurs (volume, ECTS) du tableau juste en dessous, qui présente les quatre cours sans distinguer visuellement les obligatoires des optionnels."
L2_SU_005,"D'après le tableau des UE du parcours Agrégation de Mathématiques de Sorbonne Université, combien d'ECTS et combien d'heures valent respectivement les UE « Préparation à l'écrit de Mathématiques Générales » et « Préparation à l'oral d'option A, B, C », et quel est le total général du tableau ?",MetricResult(value=0.3333333333333333),MetricResult(value=0.7253246590872963),MetricResult(value=0.99999999998),MetricResult(value=1.0),MetricResult(value=0.6440024123930863),2,Sorbonne,"Modérée — nécessite de lire deux lignes non adjacentes du même tableau (la première et l'avant-dernière) ainsi que la ligne Total finale, sans confondre les volumes horaires « 160h » et « 120-140h » entre eux."
L2_SU_006,"Au premier semestre du parcours M1 SCDA (Sciences des données avancées) de Sorbonne Université, quelles sont les quatre UE suivies, et quelle est la particularité de l'une d'entre elles par rapport aux trois autres ?",,,MetricResult(value=0.9999999999666667),MetricResult(value=1.0),MetricResult(value=0.49080028001810316),2,Sorbonne,"Modérée — la liste des quatre UE du semestre 1 est coupée par un saut de page entre la troisième et la quatrième UE, avec un risque que le chunking ne récupère que les trois premières."
L2_SU_007,"Quels sont les deux diplômes préparés simultanément par les étudiant·e·s du parcours M1 SCDI à Sorbonne Université, et combien d'ECTS chaque semestre comporte-t-il pour ce parcours, en comparaison avec un semestre standard de M1 ?",MetricResult(value=1.0),MetricResult(value=0.8045579100969921),MetricResult(value=0.99999999998),MetricResult(value=1.0),MetricResult(value=0.991964227760544),2,Sorbonne,"Élevée — il faut combiner deux passages distincts (page 120 pour les deux diplômes, page 121 pour les 36 ECTS) et les comparer implicitement à la règle générale de 30 ECTS/semestre du master, qui se trouve ailleurs dans le document."
