id,question,niveau,source,router_source_ok,router_diff_ok,router_pred_src,router_exp_src,router_pred_diff,router_exp_diff,retrieval_ctx_precision,retrieval_ctx_recall,retrieval_n_chunks,rerank_pre_precision,rerank_post_precision,rerank_precision_delta,rerank_pre_recall,rerank_post_recall,rerank_recall_delta,grading_performed,grading_sufficient,grading_judge_sufficient,grading_correct,grading_label,grading_verdict,rewrite_triggered,rewrite_new_query,rewrite_ctx_precision,rewrite_precision_gain,rewrite_ctx_recall,rewrite_recall_gain,gen_answer,gen_faithfulness,duree_secondes
L2_ENS_006,Quels sont les horaires hebdomadaires du cours « Dynamique des équations des ondes semi-linéaires » et qui l'enseigne ?,2,ENS,0,1,TOUS,ENS.pdf,2,2,1.0,1.0,2,0.877,1.0,0.123,1.0,1.0,0.0,1,0.0,0.0,1.0,vrai_negatif,NON — les extraits mentionnent le nombre total d'heures de cours (24h) mais ne précisent pas les horaires hebdomadaires.,1,Dynamique des équations des ondes semi-linéaires horaires hebdomadaires enseignant professeur planning emploi du temps,1.0,0.0,1.0,0.0,Le cours « Dynamique des équations des ondes semi-linéaires » est enseigné par T. Duyckaerts (Source : ENS.pdf p.31 ; ENS.pdf p.51). Le volume horaire mentionné pour ce cours est de 24h (Source : ENS.pdf p.31).,0.667,45.6
L2_ENS_007,"Quel est le programme provisoire détaillé du cours d'Algèbre 1 (L3 S1) de l'ENS DMA, et qui sont ses enseignants ?",2,ENS,1,1,ENS.pdf,ENS.pdf,2,2,1.0,1.0,1,0.806,1.0,0.194,1.0,1.0,0.0,1,1.0,0.0,0.0,faux_positif,OUI,0,,,,,,"Les enseignants du cours d'Algèbre 1 (L3 S1) sont Ariane Mézard et Nataniel Marquis (Source : ENS.pdf). Le programme provisoire détaillé est le suivant :

- I. Ensembles quotients (Partitions, fibres et relations d'équivalences, passage au quotient ; Sections, axiome du choix et représentants ; Lemm",,51.0
L3_ENS_001,"Compare les ECTS des cours fondamentaux de M1 entre le tableau de la première année (L3) et celui de la deuxième année (M1) : combien d'ECTS vaut chacun des quatre cours communs de L3, et combien d'ECTS vaut chacun des trois cours fondamentaux de M1 requis en deuxième année ?",3,ENS,0,1,TOUS,ENS.pdf,3,3,0.917,1.0,4,0.813,0.917,0.104,,1.0,,1,1.0,0.0,0.0,faux_positif,OUI,0,,,,,,"Pour la première année (L3), chacun des quatre cours communs de niveau licence vaut 12 ECTS (Source : ENS.pdf, p.18).

Pour la deuxième année (M1), chacun des trois cours fondamentaux requis vaut 12 ECTS (Source : ENS.pdf, p.23).

Ainsi, les deux types de cours mentionnés (les quatre cours communs d",1.0,79.4
L3_ENS_002,"Dans le tableau des règles d'obtention de la deuxième année (M1), que signifient les annotations (1), (2), (3) et (4) associées à certains cours, et à quels cours s'applique chacune d'elles ?",3,ENS,0,0,TOUS,ENS.pdf,2,3,,,0,0.75,,,1.0,,,1,0.0,0.0,1.0,vrai_negatif,NON — aucun extrait récupéré,1,M1 deuxième année tableau règles d'obtention annotations (1) (2) (3) (4) légende notes de bas de page signification,,,,,Je ne trouve pas cette information dans les documents fournis.,,62.7
L3_ENS_003,"Quel cours spécial sans ECTS est proposé au second semestre dans le cadre des règles d'obtention de la deuxième année, sur quelle thématique porte-t-il, et qui le donne ? Précise également le lien avec la fiche de cours détaillée correspondante plus loin dans la brochure.",3,ENS,0,1,TOUS,ENS.pdf,3,3,1.0,1.0,2,0.814,1.0,0.186,0.0,1.0,1.0,1,0.0,0.0,1.0,vrai_negatif,NON — les extraits ne mentionnent pas de référence précise (comme un numéro de page ou une section) pour la fiche de cours détaillée plus loin dans la brochure.,1,cours spécial sans ECTS second semestre deuxième année thématique enseignant fiche de cours détaillée référence page section renvoyé,1.0,0.0,1.0,0.0,Le cours spécial au second semestre ne donnant pas lieu à des ECTS porte sur la thématique de la théorie de Yang-Mills plane (Source : ENS.pdf [p.24]). Ce cours est donné par Thibaut Lemoine (Collège de France) (Source : ENS.pdf [p.24]).,1.0,62.5
L3_ENS_004,"Pour le cursus mathématiques/biologie, quels sont les deux cours parmi lesquels choisir au premier semestre et les deux cours parmi lesquels choisir au second semestre, en plus des trois cours de biologie pour non-biologistes obligatoires ?",3,ENS,0,1,TOUS,ENS.pdf,3,3,0.806,1.0,4,0.943,0.806,-0.137,,1.0,,1,1.0,0.0,0.0,faux_positif,OUI,0,,,,,,"Au premier semestre, les cours parmi lesquels choisir sont : Ecologie & Biodiversité (6 ECTS), Neurosciences (6 ECTS) et Biologie Moléculaire et Génétique (6 ECTS) (Source : ENS.pdf | p.22).

Au second semestre, les cours parmi lesquels choisir sont : Biologie cellulaire (6 ECTS), Développement (6 E",1.0,56.6
L3_ENS_005,À quelles dates précises ont lieu les huit séances du cours « Dimension reduction and manifold learning » de M2 et où se déroule ce cours ?,3,ENS,0,0,TOUS,ENS.pdf,2,3,1.0,1.0,2,0.833,1.0,0.167,1.0,1.0,0.0,1,1.0,0.0,0.0,faux_positif,OUI,0,,,,,,"Le cours se déroule à Paris Santé Campus (Source : ENS.pdf). Les huit séances ont lieu aux dates suivantes : 02/10, 09/10, 16/10, 04/11, 06/11, 13/11, 18/11 et 20/11 (Source : ENS.pdf).",1.0,42.0
L3_ENS_006,"Pour le cursus mathématiques/informatique, en quoi consiste le travail bibliographique encadré par un·e chercheur·euse, et quelles sont les caractéristiques précises (durée, période, lieu) du stage de recherche en informatique qui le complète ?",3,ENS,0,0,TOUS,ENS.pdf,2,3,1.0,1.0,2,0.833,1.0,0.167,1.0,1.0,0.0,1,1.0,1.0,1.0,vrai_positif,OUI,0,,,,,,"Le travail bibliographique encadré par un·e chercheur·euse consiste en un travail qui se termine par la rédaction d'un mémoire et une soutenance (ENS.pdf | p.21). Le stage de recherche en informatique qui le complète présente les caractéristiques suivantes :
- Durée : au moins 6 semaines (ENS.pdf | ",1.0,33.4
L1_SU_001,Avec quelle école le Master 2 Probabilités et Finance de Sorbonne Université est-il actuellement co-opéré ?,1,Sorbonne,1,1,SORBONNE.pdf,SORBONNE.pdf,1,1,1.0,1.0,2,0.876,1.0,0.124,,1.0,,0,,,,non_applicable,,0,,,,,,"Le Master 2, Parcours Probabilités et Finance est actuellement co-opéré avec l'École Polytechnique (Source : SORBONNE.pdf | p.58).",1.0,32.7
L1_SU_002,"Dans le parcours Master 2 Mathématiques fondamentales de Sorbonne Université, quelles sont les deux autres universités dont les étudiants peuvent suivre et valider les cours du parcours équivalent ?",1,Sorbonne,1,1,SORBONNE.pdf,SORBONNE.pdf,1,1,1.0,1.0,3,0.886,1.0,0.114,,1.0,,0,,,,non_applicable,,0,,,,,,Les deux autres universités dont les étudiants peuvent suivre et valider les cours du parcours M2 Mathématiques fondamentales sont l'Université Paris Cité (Source : SORBONNE.pdf | p.40 | 2.3 Organisation) et l'Université Sorbonne Paris Nord (Source : SORBONNE.pdf | p.40 | 2.3 Organisation).,,44.0
L1_SU_003,"En quelle année le parcours MS2A (Master 2 Statistique, Apprentissage et Algorithmes) de Sorbonne Université est-il né, et de la fusion de quels deux M2 est-il issu ?",1,Sorbonne,1,0,SORBONNE.pdf,SORBONNE.pdf,2,1,1.0,1.0,1,1.0,1.0,0.0,1.0,1.0,0.0,1,1.0,1.0,1.0,vrai_positif,OUI,0,,,,,,Le parcours MS2A est né en 2025 (Source : SORBONNE.pdf | p.98 | 7.1 Objectifs et description) de la fusion du M2 Statistique & Learning et du M2 Apprentissage et Algorithmes (Source : SORBONNE.pdf | p.98 | 7.1 Objectifs et description).,1.0,48.7
L1_SU_004,"Quelles sont les trois options de préparation à l'oral (A, B, C) proposées dans le parcours Agrégation de Mathématiques de Sorbonne Université ?",1,Sorbonne,1,1,SORBONNE.pdf,SORBONNE.pdf,1,1,1.0,1.0,3,1.0,1.0,0.0,,1.0,,0,,,,non_applicable,,0,,,,,,"Les trois options de préparation à l'oral sont les suivantes :
- Option A : Probabilités et Statistiques (Source : SORBONNE.pdf | p.116 | 8.3 Organisation)
- Option B : Calcul Scientifique (Source : SORBONNE.pdf | p.116 | 8.3 Organisation)
- Option C : Algèbre et Calcul formel (Source : SORBONNE.pdf",,31.9
L1_SU_005,"En quelle année le parcours Sciences des données (SCDA et SCDI) de Sorbonne Université a-t-il été initié, et sur quel intervalle de niveaux d'études s'étend-il ?",1,Sorbonne,1,0,SORBONNE.pdf,SORBONNE.pdf,2,1,0.887,1.0,5,0.605,0.887,0.282,1.0,1.0,0.0,1,1.0,1.0,1.0,vrai_positif,OUI,0,,,,,,Le parcours Science des données de Sorbonne Université a été initié en 2021 (Source : SORBONNE.pdf | p.119) et il s'étend de la L1 au M2 (Source : SORBONNE.pdf | p.119).,1.0,73.6
L1_SU_006,"Quelle est la durée minimale du stage obligatoire du M1 SCDI (Sciences des données pour l'ingénieur·e) à Sorbonne Université, et pendant quels mois doit-il avoir lieu ?",1,Sorbonne,1,0,SORBONNE.pdf,SORBONNE.pdf,2,1,1.0,1.0,5,0.419,1.0,0.581,1.0,1.0,0.0,1,1.0,1.0,1.0,vrai_positif,OUI,0,,,,,,Je ne trouve pas cette information dans les documents fournis.,0.0,74.9
L2_SU_001,"Comment est organisé le premier semestre (tronc commun) du Master 2 Probabilités et Finance de Sorbonne Université, et comment se fait la sélection des candidats à l'entrée de ce parcours ?",2,Sorbonne,1,1,SORBONNE.pdf,SORBONNE.pdf,2,2,1.0,1.0,5,0.938,1.0,0.062,,1.0,,1,0.0,0.0,1.0,vrai_negatif,"NON — les extraits mentionnent l'existence de prérequis et d'un formulaire de candidature, mais ils n'indiquent pas comment se déroule concrètement le processus de sélection des candidats.",1,Master 2 Probabilités et Finance Sorbonne Université critères d'admission modalités de sélection processus de sélection recrutement entretien test con,1.0,0.0,1.0,0.0,Je ne trouve pas cette information dans les documents fournis.,0.0,73.3
L2_SU_002,"Combien d'ECTS un·e étudiant·e du parcours MS2A (Master 2 Statistique, Apprentissage et Algorithmes) doit-il/elle valider chaque année, comment se répartissent-ils entre les deux semestres, et que se passe-t-il si l'étudiant·e choisit plus d'ECTS que le minimum requis sur un semestre ?",2,Sorbonne,0,1,TOUS,SORBONNE.pdf,2,2,,,0,0.95,,,1.0,,,1,0.0,0.0,1.0,vrai_negatif,NON — aucun extrait récupéré,1,MS2A Statistique Apprentissage Algorithmes ECTS crédits semestres validation répartition règlement modalités maximum minimum,1.0,,1.0,,"- Nombre d'ECTS à valider chaque année : Je ne trouve pas cette information dans les documents fournis.
- Répartition des ECTS entre les deux semestres : Je ne trouve pas cette information dans les documents fournis.
- Conséquence du choix de plus d'ECTS que le minimum requis sur un semestre : Les c",0.75,57.8
L2_SU_003,"Pendant la pré-rentrée du parcours MS2A à Sorbonne Université, quel choix obligatoire les étudiant·e·s doivent-ils/elles faire, et combien d'heures représentent respectivement le cours de Statistique et le cours d'Optimisation et calcul différentiel ?",2,Sorbonne,1,1,SORBONNE.pdf,SORBONNE.pdf,2,2,1.0,1.0,5,0.652,1.0,0.348,,1.0,,1,1.0,0.0,0.0,faux_positif,OUI,0,,,,,,"Lors de la pré-rentrée, les étudiants doivent choisir entre ""R"" ou ""Python avancé"" (Source : SORBONNE.pdf | p.99). Le cours de Statistique représente 21 heures et le cours d'Optimisation et calcul différentiel représente 15 heures (Source : SORBONNE.pdf | p.99).",1.0,62.6
L2_SU_004,"Au premier semestre du parcours MS2A, quels sont les deux cours obligatoires du tronc commun, et combien de cours optionnels parmi lesquels les étudiant·e·s doivent-ils/elles en choisir, avec leurs ECTS ?",2,Sorbonne,0,1,TOUS,SORBONNE.pdf,2,2,1.0,1.0,1,1.0,1.0,0.0,1.0,1.0,0.0,1,1.0,0.0,0.0,faux_positif,OUI,0,,,,,,"Les cours obligatoires du tronc commun sont Apprentissage statistique (Source : SORBONNE.pdf) et Optimisation stochastique (Source : SORBONNE.pdf). Les options disponibles sont Statistique en grande dimension et Estimation non-paramétrique, parmi lesquelles les étudiants doivent choisir 1 ou 2 cours",1.0,31.5
L2_SU_005,"D'après le tableau des UE du parcours Agrégation de Mathématiques de Sorbonne Université, combien d'ECTS et combien d'heures valent respectivement les UE « Préparation à l'écrit de Mathématiques Générales » et « Préparation à l'oral d'option A, B, C », et quel est le total général du tableau ?",2,Sorbonne,1,1,SORBONNE.pdf,SORBONNE.pdf,2,2,1.0,1.0,5,0.813,1.0,0.187,1.0,1.0,0.0,1,1.0,0.0,0.0,faux_positif,OUI,0,,,,,,"L'unité « Préparation à l'écrit de Mathématiques Générales » vaut 15 ECTS et 160 heures (Source : SORBONNE.pdf | p.118).

L'unité « Préparation à l'oral d'option A, B, C » vaut 12 ECTS et 120-140 heures (Source : SORBONNE.pdf | p.118).

Le total général du tableau est de ~690 heures pour un total de",1.0,63.2
L2_SU_006,"Au premier semestre du parcours M1 SCDA (Sciences des données avancées) de Sorbonne Université, quelles sont les quatre UE suivies, et quelle est la particularité de l'une d'entre elles par rapport aux trois autres ?",2,Sorbonne,1,0,SORBONNE.pdf,SORBONNE.pdf,3,2,1.0,1.0,5,0.995,1.0,0.005,,1.0,,1,1.0,0.0,0.0,faux_positif,OUI,0,,,,,,Je ne trouve pas cette information dans les documents fournis.,0.333,66.0
L2_SU_007,"Quels sont les deux diplômes préparés simultanément par les étudiant·e·s du parcours M1 SCDI à Sorbonne Université, et combien d'ECTS chaque semestre comporte-t-il pour ce parcours, en comparaison avec un semestre standard de M1 ?",2,Sorbonne,1,0,SORBONNE.pdf,SORBONNE.pdf,3,2,1.0,1.0,5,0.949,1.0,0.051,,1.0,,1,1.0,0.0,0.0,faux_positif,OUI,0,,,,,,"Les étudiants du parcours M1 SCDI préparent simultanément le diplôme de master Mathématiques et Applications de Sorbonne Université et le DU de statisticien de l'ISUP (Source : SORBONNE.pdf, p.122).

Pour le parcours M1 SCDI, chaque semestre comporte 36 ECTS (Source : SORBONNE.pdf, p.122).

Un semes",1.0,145.2
L2_SU_008,"Comment sont organisés les examens et les rattrapages du parcours MS2A à Sorbonne Université, et existe-t-il une compensation entre les semestres ?",2,Sorbonne,1,1,SORBONNE.pdf,SORBONNE.pdf,2,2,0.833,,3,0.855,0.833,-0.022,1.0,,,1,1.0,1.0,1.0,vrai_positif,OUI,0,,,,,,"Les examens pour le parcours MS2A sont organisés de la manière suivante :
- **Examens** : Ils ont lieu à l'issue de chaque bloc (novembre, janvier et avril) (Source : SORBONNE.pdf | p.99 | Examens).
- **Rattrapages** : Ils sont organisés en juin pour les étudiants n'ayant pas obtenu de notes validan",,57.2
L2_SU_009,"Quel niveau de langue les étudiant·e·s du parcours SCDI doivent-ils/elles atteindre en anglais en M1, et comment ce niveau est-il évalué en M2 ?",2,Sorbonne,0,1,TOUS,SORBONNE.pdf,2,2,1.0,1.0,2,0.927,1.0,0.073,1.0,1.0,0.0,1,1.0,0.0,0.0,faux_positif,OUI,0,,,,,,"En M1, les étudiants doivent atteindre le niveau B2 du Cadre Européen Commun de Référence pour les Langues (CECRL) dans toutes les compétences (compréhension et production orales et écrites) (Source : SORBONNE.pdf | p.123). En M2, ce niveau est évalué au Toeic pour les compétences de compréhension é",1.0,60.3
L3_SU_001,"L'UE 4ACT14 « Fondements mathématiques pour les sciences des données » du parcours M1 SCDI de Sorbonne Université apparaît avec deux valeurs d'ECTS différentes dans la brochure. Lesquelles, et où se trouve chacune ?",3,Sorbonne,1,1,SORBONNE.pdf,SORBONNE.pdf,3,3,0.7,0.0,5,0.75,0.7,-0.05,,0.0,,1,1.0,0.0,0.0,faux_positif,OUI,0,,,,,,"L'UE 4ACT14 « Fondements mathématiques pour les sciences des données » apparaît avec les deux valeurs d'ECTS suivantes :

- Elle est mentionnée comme ayant 3 ECTS à la page 123 (Source : SORBONNE.pdf, p.123).
- Elle est mentionnée comme ayant 6 ECTS à la page 124 (Source : SORBONNE.pdf, p.124).",,79.6
L3_SU_002,"Au niveau M2, quels parcours sont associés au parcours Sciences des données (SCDA et SCDI) de Sorbonne Université, et dans quels chapitres de la brochure ces parcours sont-ils décrits en détail ?",3,Sorbonne,1,0,SORBONNE.pdf,SORBONNE.pdf,2,3,1.0,1.0,5,0.965,1.0,0.035,1.0,1.0,0.0,1,1.0,0.0,0.0,faux_positif,OUI,0,,,,,,"Pour le parcours M2 MS2A : il est associé au parcours Science des données et est décrit dans « ce chapitre » (Source : SORBONNE.pdf p.119 ; SORBONNE.pdf p.120).

Pour les quatre majeures du M2 Ingénierie mathématique (incluant la majeure SCDI) : elles sont associées au parcours Science des données e",1.0,72.2
L3_SU_003,"Comparez la durée du stage de fin d'études du Master 2 Probabilités et Finance avec celle du stage obligatoire du M1 SCDI : quelles sont leurs durées respectives, et à quelles périodes de l'année ont-ils lieu ?",3,Sorbonne,0,1,TOUS,SORBONNE.pdf,3,3,1.0,0.667,4,0.935,1.0,0.065,1.0,0.667,-0.333,1,0.0,0.0,1.0,vrai_negatif,NON — les extraits ne mentionnent pas la durée ni la période du stage obligatoire pour le M1 SCDI.,1,M1 SCDI stage obligatoire durée période calendrier planning,1.0,0.0,0.5,-0.167,Je ne trouve pas cette information dans les documents fournis.,0.0,48.6
L3_SU_004,"Pour les étudiant·e·s du parcours Agrégation de Mathématiques de Sorbonne Université qui ne sont pas déjà titulaires d'un M2, à quel moment doivent-ils/elles valider leur Master, et qu'est-ce que le « concours spécial docteur » mentionné dans la brochure ?",3,Sorbonne,1,0,SORBONNE.pdf,SORBONNE.pdf,2,3,1.0,1.0,2,0.378,1.0,0.622,1.0,1.0,0.0,1,1.0,0.0,0.0,faux_positif,OUI,0,,,,,,"Les étudiants qui ne sont pas déjà titulaires d'un M2 ou d'une équivalence à leur arrivée dans la formation doivent valider leur Master au moment des épreuves d'admissibilité (Source : SORBONNE.pdf, p.116).

Le « concours spécial docteur » est un concours appelé Agrégation externe spéciale, mis en p",1.0,59.6
L3_SU_005,"Citez deux cours du premier semestre du parcours Master 2 Mathématiques fondamentales de Sorbonne Université portant sur la géométrie ou la topologie, avec leurs enseignants et leur nombre d'ECTS, et indiquez le profil professionnel principal auquel ce parcours prépare.",3,Sorbonne,1,0,SORBONNE.pdf,SORBONNE.pdf,2,3,0.679,1.0,5,0.806,0.679,-0.127,,1.0,,1,0.0,0.0,1.0,vrai_negatif,NON — les extraits ne mentionnent pas le parcours « Master 2 Mathématiques fondamentales » ni le profil professionnel associé à celui-ci.,1,Sorbonne Université Master 2 Mathématiques fondamentales géométrie topologie premier semestre S1 enseignants professeurs ECTS profil professionnel déb,0.679,0.0,1.0,0.0,Je ne trouve pas cette information dans les documents fournis.,0.0,52.4
L3_SU_006,"Quelle est la différence d'orientation entre le parcours M1 SCDA (Sciences des données avancées) et le parcours M1 SCDI (Sciences des données pour l'ingénieur·e) de Sorbonne Université, en termes de débouchés en M2 ?",3,Sorbonne,1,1,SORBONNE.pdf,SORBONNE.pdf,3,3,0.45,1.0,5,0.342,0.45,0.108,,1.0,,1,1.0,0.0,0.0,faux_positif,OUI,0,,,,,,"Pour le parcours M1 SCDA (Sciences des données avancées) :
Ce parcours a une « coloration théorique » et prépare particulièrement au « M2 parcours MS2A » (Source : SORBONNE.pdf | p.121). Il offre également la possibilité de rejoindre, au niveau M2, l'une des majeures du « M2 Ingénierie mathématique ",1.0,87.2
L3_SU_007,Comparez le calendrier annuel du Master 2 Probabilités et Finance avec celui du parcours MS2A : à quels mois correspondent respectivement le premier et le second semestre dans chacun de ces deux parcours ?,3,Sorbonne,0,1,TOUS,SORBONNE.pdf,3,3,1.0,0.667,5,0.954,1.0,0.046,,0.667,,1,1.0,0.0,0.0,faux_positif,OUI,0,,,,,,"Master 2 Probabilités et Finance : Le premier semestre (cours intensifs) se déroule de début septembre à fin mars (Source : SORBONNE.pdf, p.58) et le second semestre (stage) s'étend de début avril au 30 septembre (Source : SORBONNE.pdf, p.58).

MS2A : Le second semestre commence à partir du mois d'a",1.0,56.3
L2_TOUS_001,Comparez la durée minimale du stage exigé pour les élèves de la filière mathématiques de l'ENS avec la durée du stage prévu dans le parcours Probabilités et Finance du Master 2 de Sorbonne Université.,2,ENS+Sorbonne,1,0,TOUS,TOUS,3,2,0.806,1.0,4,0.586,0.806,0.22,1.0,1.0,0.0,1,1.0,0.0,0.0,faux_positif,OUI,0,,,,,,"Pour la filière mathématiques de l'ENS, le stage dure au moins 4 mois (Source : ENS.pdf | p.12).

Pour le parcours Probabilités et Finance du Master 2 de Sorbonne Université, le stage est prévu pour une durée de 5 à 6 mois (Source : SORBONNE.pdf | p.65).

Ainsi, la durée prévue pour le stage dans le",1.0,62.0
L2_TOUS_002,"Comment l'obligation de valider un enseignement de langue est-elle organisée à l'ENS (DENS) d'une part, et en Master 1 à Sorbonne Université d'autre part ?",2,ENS+Sorbonne,1,0,TOUS,TOUS,3,2,1.0,1.0,2,0.925,1.0,0.075,1.0,1.0,0.0,1,0.0,0.0,1.0,vrai_negatif,NON — les extraits ne contiennent aucune information concernant l'organisation de l'enseignement des langues à l'ENS (DENS).,1,ENS DENS cours de langues organisation validation Sorbonne Université Master 1 exigences linguistiques crédits ECTS modalités d'enseignement règlement,1.0,0.0,1.0,0.0,"Master 1 à Sorbonne Université : Au premier semestre (S1), l'obligation de valider une unité d'enseignement (UE) de langue est organisée par le choix d'une UE de 3 ECTS parmi plusieurs options (anglais, allemand, chinois, espagnol, russe ou français langue étrangère) pour les étudiants en présence, ",0.6,60.1
L2_TOUS_003,Sorbonne Université fait-elle partie des établissements partenaires cités dans la brochure de l'ENS pour la délivrance des diplômes nationaux de licence et de master du DMA ?,2,ENS+Sorbonne,0,0,ENS.pdf,TOUS,1,2,1.0,1.0,2,1.0,1.0,0.0,,1.0,,0,,,,non_applicable,,0,,,,,,"Oui, Sorbonne Université fait partie des établissements partenaires cités pour le cursus incluant la validation des deux diplômes nationaux (licence et master) (Source : ENS.pdf).",1.0,44.5
L3_TOUS_001,"Un·e élève de l'ENS qui poursuit, suivant son parcours, un M2 de mathématiques de la modélisation s'inscrit dans une université partenaire qui délivre ce diplôme. Quel chapitre de la brochure de Sorbonne Université correspond à ce M2, et à quelles pages se trouve-t-il ?",3,ENS+Sorbonne,1,1,TOUS,TOUS,3,3,1.0,1.0,5,1.0,1.0,0.0,1.0,1.0,0.0,1,1.0,0.0,0.0,faux_positif,OUI,0,,,,,,"Ce M2 correspond au Chapitre 5 (SORBONNE.pdf, p.68).",1.0,72.2
